pregunta,emocion,intencion,nivel_emocional,recomendacion
quiero mejorar pero no tengo fuerzas antes de dormir puedes ayudarme,DESMOTIVACION,bajo_rendimiento,ALTO,Registrar seguimiento si la desmotivación persiste y afecta asistencia o rendimiento.
buenos dias un poco puedes ayudarme,NEUTRAL,saludo,ESTABLE,Brindar información breve y preguntar si necesita algo más.
cuando estoy en clases tengo miedo de ir al colegio que puedo hacer,MIEDO,temor_familiar,MODERADO,"Brindar contención, recomendar acudir a un adulto de confianza y priorizar seguridad."
ultimamente siento que no vale la pena vivir y me cuesta concentrarme,RIESGO_EMOCIONAL,pedido_ayuda_urgente,CRITICO,Registrar seguimiento inmediato y no dejar al estudiante sin acompañamiento.
necesito decir que siento que nada me sale bien con mi familia y me cuesta concentrarme,DESMOTIVACION,falta_interes,MODERADO,Registrar seguimiento si la desmotivación persiste y afecta asistencia o rendimiento.
por favor necesito hacer una consulta en serio necesito apoyo,NEUTRAL,duda_academica,ESTABLE,Brindar información breve y preguntar si necesita algo más.
desde ayer estoy estresado por tantas tareas,ESTRES,expresar_estres,ALTO,Sugerir una planificación diaria y comunicar la sobrecarga a un docente o tutor.
hoy no se como organizar mis tareas cada dia mas y quiero estar mejor,ESTRES,expresar_estres,MODERADO,"Recomendar organizar actividades, priorizar tareas y tomar pausas breves."
cuando estoy en clases siento que nadie me entiende en silencio,TRISTEZA,buscar_apoyo,LEVE,Registrar seguimiento y sugerir orientación psicológica si la tristeza afecta sus actividades.
cada vez me cuesta mas levantarme para ir al colegio cuando tengo que exponer y quiero estar mejor,DESMOTIVACION,expresar_desmotivacion,LEVE,"Motivar con metas pequeñas, reconocer avances y sugerir apoyo académico."
por favor tengo miedo de ir al colegio y quiero mejorar,MIEDO,temor_bullying,ALTO,"Brindar contención, recomendar acudir a un adulto de confianza y priorizar seguridad."
por favor hoy me siento muy feliz puedes ayudarme,FELICIDAD,compartir_logro,ESTABLE,Reforzar positivamente el logro y motivar a mantener hábitos saludables.
en la tarde me dio rabia lo que me dijeron necesito orientacion,ENOJO,conflicto_docente,MODERADO,"Validar el enojo, recomendar calmarse antes de responder y buscar diálogo respetuoso."
desde ayer me asusta que me molesten otra vez mucho que puedo hacer,MIEDO,temor_bullying,MODERADO,Sugerir comunicar la situación al área correspondiente si hay amenaza o intimidación.
desde ayer quiero gritar porque no me escuchan demasiado y no quiero sentirme asi,ENOJO,frustracion,ALTO,"Validar el enojo, recomendar calmarse antes de responder y buscar diálogo respetuoso."
desde ayer no soporto que me traten mal y me cuesta concentrarme,ENOJO,frustracion,LEVE,"Validar el enojo, recomendar calmarse antes de responder y buscar diálogo respetuoso."
desde ayer siento mucha pena por lo que paso,TRISTEZA,problema_personal,MODERADO,Registrar seguimiento y sugerir orientación psicológica si la tristeza afecta sus actividades.
en las mañanas necesito hacer una consulta cada dia mas y me cuesta concentrarme,NEUTRAL,saludo,ESTABLE,Brindar información breve y preguntar si necesita algo más.
me dio rabia lo que me dijeron que puedo hacer,ENOJO,frustracion,LEVE,"Registrar seguimiento si el enojo genera peleas, amenazas o pérdida de control."
en el colegio estoy estresado por tantas tareas antes de dormir,ESTRES,cansancio_escolar,MODERADO,"Recomendar organizar actividades, priorizar tareas y tomar pausas breves."
cuando llego a casa ultimamente no tengo ganas de nada antes de dormir puedes ayudarme,TRISTEZA,buscar_apoyo,MODERADO,"Responder con empatía, validar la emoción y sugerir hablar con el área de psicología si continúa."
la verdad siento que voy a perder el control en silencio que puedo hacer,ENOJO,frustracion,LEVE,Sugerir identificar el motivo del conflicto y pedir mediación si es necesario.
en la tarde no aguanto mas esta situacion un poco,RIESGO_EMOCIONAL,pedido_ayuda_urgente,CRITICO,Priorizar seguridad del estudiante y derivar de forma urgente al área de psicología.
cuando estoy en clases no quiero hacer mis tareas un poco,DESMOTIVACION,bajo_rendimiento,MODERADO,"Motivar con metas pequeñas, reconocer avances y sugerir apoyo académico."
cuando estoy en clases estoy muy preocupado por mis notas durante clases porque me afecta bastante,ANSIEDAD,buscar_calma,ALTO,Validar la preocupación y recomendar dividir tareas en pasos pequeños.
cuando llego a casa he pensado en hacerme daño pero no se como explicarlo,RIESGO_EMOCIONAL,pedido_ayuda_urgente,CRITICO,Registrar seguimiento inmediato y no dejar al estudiante sin acompañamiento.
cuando estoy en clases me siento apagado desde hace dias bastante,TRISTEZA,problema_personal,LEVE,Registrar seguimiento y sugerir orientación psicológica si la tristeza afecta sus actividades.
esta semana ultimamente no tengo ganas de nada y quiero mejorar,TRISTEZA,desahogo_emocional,ALTO,Registrar seguimiento y sugerir orientación psicológica si la tristeza afecta sus actividades.
por favor gracias por la ayuda y me cuesta concentrarme,NEUTRAL,saludo,ESTABLE,Responder con orientación general y continuar la conversación.
en el colegio me siento triste,TRISTEZA,expresar_tristeza,MODERADO,Registrar seguimiento y sugerir orientación psicológica si la tristeza afecta sus actividades.
cuando llego a casa estoy llorando y no se que hacer necesito orientacion,TRISTEZA,buscar_apoyo,LEVE,Registrar seguimiento y sugerir orientación psicológica si la tristeza afecta sus actividades.
en las mañanas me siento motivado para estudiar cuando tengo tareas por eso busco ayuda,FELICIDAD,motivacion_positiva,ESTABLE,Reforzar positivamente el logro y motivar a mantener hábitos saludables.
necesito decir que hoy tuve un buen dia en clases,FELICIDAD,expresar_bienestar,ESTABLE,Felicitar al estudiante y sugerir que conserve esa actitud positiva.
en la tarde me siento desanimado con mis clases en silencio y no se que hacer,DESMOTIVACION,buscar_motivacion,MODERADO,Registrar seguimiento si la desmotivación persiste y afecta asistencia o rendimiento.
hoy buenos dias en serio necesito apoyo,NEUTRAL,saludo,ESTABLE,"Mantener una respuesta clara, amable y de acompañamiento."
esta semana me cuesta respirar cuando pienso en mis tareas y me cuesta concentrarme,ANSIEDAD,miedo_examen,LEVE,Validar la preocupación y recomendar dividir tareas en pasos pequeños.
por favor puedes ayudarme con una duda bastante,NEUTRAL,duda_academica,ESTABLE,Responder con orientación general y continuar la conversación.
me siento motivado para estudiar cuando tengo tareas,FELICIDAD,expresar_bienestar,LEVE,Responder con reconocimiento emocional y continuar acompañando.
necesito decir que tengo una pregunta sobre el colegio porque me afecta bastante,NEUTRAL,despedida,ESTABLE,Responder con orientación general y continuar la conversación.
esta semana quiero lastimarme en serio necesito apoyo,RIESGO_EMOCIONAL,riesgo_autolesion,CRITICO,Registrar seguimiento inmediato y no dejar al estudiante sin acompañamiento.
desde ayer buenas tardes cuando tengo tareas,NEUTRAL,saludo,ESTABLE,Responder con orientación general y continuar la conversación.
necesito decir que ya no puedo concentrarme por el estres,ESTRES,expresar_estres,ALTO,Sugerir una planificación diaria y comunicar la sobrecarga a un docente o tutor.
hasta luego bastante,NEUTRAL,consulta_general,ESTABLE,Brindar información breve y preguntar si necesita algo más.
a veces me pongo nervioso antes de los examenes,ANSIEDAD,expresar_ansiedad,MODERADO,Registrar alerta si la ansiedad es frecuente o interfiere con el rendimiento escolar.
quiero saber como revisar mis notas,NEUTRAL,saludo,ESTABLE,"Mantener una respuesta clara, amable y de acompañamiento."
en las mañanas ultimamente no tengo ganas de nada con mi familia por eso busco ayuda,TRISTEZA,expresar_tristeza,MODERADO,"Responder con empatía, validar la emoción y sugerir hablar con el área de psicología si continúa."
me da miedo equivocarme al exponer sin decirle a nadie y no se que hacer,MIEDO,temor_bullying,LEVE,Sugerir comunicar la situación al área correspondiente si hay amenaza o intimidación.
no aguanto mas esta situacion porque me afecta bastante,RIESGO_EMOCIONAL,desesperanza_grave,CRITICO,Priorizar seguridad del estudiante y derivar de forma urgente al área de psicología.
me siento desanimado con mis clases antes de dormir,DESMOTIVACION,expresar_desmotivacion,ALTO,"Motivar con metas pequeñas, reconocer avances y sugerir apoyo académico."
esta semana me siento triste demasiado y no quiero sentirme asi,TRISTEZA,problema_personal,MODERADO,Registrar seguimiento y sugerir orientación psicológica si la tristeza afecta sus actividades.
desde ayer no quiero salir al recreo porque tengo miedo sin decirle a nadie,MIEDO,buscar_seguridad,MODERADO,"Brindar contención, recomendar acudir a un adulto de confianza y priorizar seguridad."
desde hace dias me siento solo en el colegio mucho necesito orientacion,TRISTEZA,problema_personal,LEVE,"Responder con empatía, validar la emoción y sugerir hablar con el área de psicología si continúa."
a veces siento inseguridad en el curso,MIEDO,temor_familiar,LEVE,Sugerir comunicar la situación al área correspondiente si hay amenaza o intimidación.
la verdad me siento apagado desde hace dias pero no se como explicarlo,TRISTEZA,problema_personal,LEVE,Brindar contención emocional y recomendar apoyo de un adulto de confianza.
en la tarde donde puedo ver mi horario cuando tengo tareas me gustaria hablar con alguien,NEUTRAL,saludo,ESTABLE,Responder con orientación general y continuar la conversación.
ultimamente no soporto que me traten mal bastante por eso busco ayuda,ENOJO,frustracion,ALTO,Sugerir identificar el motivo del conflicto y pedir mediación si es necesario.
cuando llego a casa siento inseguridad en el curso demasiado,MIEDO,buscar_seguridad,MODERADO,Sugerir comunicar la situación al área correspondiente si hay amenaza o intimidación.
en las mañanas me siento tranquilo y animado,FELICIDAD,motivacion_positiva,ESTABLE,Responder con reconocimiento emocional y continuar acompañando.
necesito decir que siento que no vale la pena vivir,RIESGO_EMOCIONAL,desesperanza_grave,ALTO,Priorizar seguridad del estudiante y derivar de forma urgente al área de psicología.
desde hace dias me preocupa que mis compañeros se rian,MIEDO,temor_familiar,LEVE,"Registrar alerta si el miedo se relaciona con acoso, violencia o riesgo de seguridad."
en la tarde me siento apagado desde hace dias por eso busco ayuda,TRISTEZA,problema_personal,ALTO,Registrar seguimiento y sugerir orientación psicológica si la tristeza afecta sus actividades.
por favor me enoje con un profesor me preocupa mucho,ENOJO,expresar_enojo,MODERADO,Sugerir identificar el motivo del conflicto y pedir mediación si es necesario.
cuando estoy en clases ya no tengo motivacion para estudiar y quiero estar mejor,DESMOTIVACION,falta_interes,LEVE,Recomendar establecer una rutina breve de estudio y conversar con un tutor.
en las mañanas me alegra haber hablado con mi profesor,FELICIDAD,agradecimiento,ESTABLE,Felicitar al estudiante y sugerir que conserve esa actitud positiva.
por favor me siento saturado con el colegio antes de dormir y no quiero sentirme asi,ESTRES,expresar_estres,MODERADO,"Registrar seguimiento si el estrés se mantiene o afecta sueño, ánimo o concentración."
a veces quiero lastimarme bastante,RIESGO_EMOCIONAL,crisis_emocional,CRITICO,Priorizar seguridad del estudiante y derivar de forma urgente al área de psicología.
ya no disfruto venir a clases un poco pero no se como explicarlo,TRISTEZA,expresar_tristeza,ALTO,Brindar contención emocional y recomendar apoyo de un adulto de confianza.
desde hace dias me cuesta respirar cuando pienso en mis tareas que puedo hacer,ANSIEDAD,expresar_ansiedad,MODERADO,Validar la preocupación y recomendar dividir tareas en pasos pequeños.
esta semana me da igual sacar malas notas,DESMOTIVACION,buscar_motivacion,MODERADO,Recomendar establecer una rutina breve de estudio y conversar con un tutor.
logre entregar mi tarea a tiempo,FELICIDAD,agradecimiento,LEVE,Responder con reconocimiento emocional y continuar acompañando.
en la tarde ya no disfruto venir a clases bastante porque me afecta bastante,TRISTEZA,buscar_apoyo,MODERADO,Registrar seguimiento y sugerir orientación psicológica si la tristeza afecta sus actividades.
necesito decir que siento nervios cada vez que entro a clases con mi familia,ANSIEDAD,preocupacion_academica,MODERADO,Registrar alerta si la ansiedad es frecuente o interfiere con el rendimiento escolar.
desde ayer me siento ansioso porque me afecta bastante,ANSIEDAD,expresar_ansiedad,MODERADO,"Sugerir respiración lenta, ordenar prioridades y solicitar apoyo si la ansiedad aumenta."
ultimamente estoy llorando y no se que hacer,TRISTEZA,desahogo_emocional,MODERADO,"Responder con empatía, validar la emoción y sugerir hablar con el área de psicología si continúa."
la verdad estoy muy preocupado por mis notas demasiado me preocupa mucho,ANSIEDAD,buscar_calma,MODERADO,Validar la preocupación y recomendar dividir tareas en pasos pequeños.
la verdad quiero saber como revisar mis notas y no se que hacer,NEUTRAL,agradecimiento,ESTABLE,"Mantener una respuesta clara, amable y de acompañamiento."
la verdad me alegra haber hablado con mi profesor necesito orientacion,FELICIDAD,agradecimiento,ESTABLE,Felicitar al estudiante y sugerir que conserve esa actitud positiva.
la verdad estoy llorando y no se que hacer y no se que hacer,TRISTEZA,expresar_tristeza,MODERADO,"Responder con empatía, validar la emoción y sugerir hablar con el área de psicología si continúa."
por favor no se como organizar mis tareas demasiado y no quiero sentirme asi,ESTRES,cansancio_escolar,LEVE,"Registrar seguimiento si el estrés se mantiene o afecta sueño, ánimo o concentración."
en las mañanas tengo muchas obligaciones y estoy cansado,ESTRES,expresar_estres,LEVE,"Registrar seguimiento si el estrés se mantiene o afecta sueño, ánimo o concentración."
la verdad estoy enojado con mis compañeros y me cuesta concentrarme,ENOJO,conflicto_docente,MODERADO,Sugerir identificar el motivo del conflicto y pedir mediación si es necesario.
quiero gritar porque no me escuchan y quiero mejorar,ENOJO,conflicto_docente,MODERADO,"Validar el enojo, recomendar calmarse antes de responder y buscar diálogo respetuoso."
en el colegio ya no disfruto venir a clases,TRISTEZA,desahogo_emocional,ALTO,"Responder con empatía, validar la emoción y sugerir hablar con el área de psicología si continúa."
a veces me enoje con un profesor en serio necesito apoyo,ENOJO,frustracion,MODERADO,Sugerir identificar el motivo del conflicto y pedir mediación si es necesario.
ultimamente ya no disfruto venir a clases,TRISTEZA,buscar_apoyo,LEVE,"Responder con empatía, validar la emoción y sugerir hablar con el área de psicología si continúa."
cuando estoy en clases perdi las ganas de esforzarme y no se que hacer,DESMOTIVACION,expresar_desmotivacion,LEVE,"Motivar con metas pequeñas, reconocer avances y sugerir apoyo académico."
esta semana gracias por la ayuda y no quiero sentirme asi,NEUTRAL,duda_academica,ESTABLE,Responder con orientación general y continuar la conversación.
a veces ya no disfruto venir a clases bastante y no se que hacer,TRISTEZA,desahogo_emocional,LEVE,Registrar seguimiento y sugerir orientación psicológica si la tristeza afecta sus actividades.
esta semana tengo miedo de contar lo que pasa pero no se como explicarlo,MIEDO,temor_bullying,MODERADO,Sugerir comunicar la situación al área correspondiente si hay amenaza o intimidación.
en la tarde me cuesta respirar cuando pienso en mis tareas bastante,ANSIEDAD,preocupacion_academica,LEVE,Registrar alerta si la ansiedad es frecuente o interfiere con el rendimiento escolar.
a veces ya no quiero seguir viviendo y no quiero sentirme asi,RIESGO_EMOCIONAL,pedido_ayuda_urgente,CRITICO,Registrar seguimiento inmediato y no dejar al estudiante sin acompañamiento.
esta semana tengo rabia por lo que paso en clase bastante,ENOJO,conflicto_docente,MODERADO,Sugerir identificar el motivo del conflicto y pedir mediación si es necesario.
necesito decir que siento mucha pena por lo que paso cuando tengo tareas por eso busco ayuda,TRISTEZA,problema_personal,ALTO,"Responder con empatía, validar la emoción y sugerir hablar con el área de psicología si continúa."
cuando estoy en clases me siento tranquilo y animado en silencio,FELICIDAD,expresar_bienestar,ESTABLE,Reforzar positivamente el logro y motivar a mantener hábitos saludables.
esta semana hola demasiado porque me afecta bastante,NEUTRAL,despedida,ESTABLE,Brindar información breve y preguntar si necesita algo más.
en el colegio tengo miedo de contar lo que pasa pero no se como explicarlo,MIEDO,expresar_miedo,MODERADO,Sugerir comunicar la situación al área correspondiente si hay amenaza o intimidación.
desde ayer quiero mejorar pero no tengo fuerzas me preocupa mucho,DESMOTIVACION,expresar_desmotivacion,LEVE,Recomendar establecer una rutina breve de estudio y conversar con un tutor.
desde ayer estoy feliz porque mis amigos me apoyaron,FELICIDAD,motivacion_positiva,ESTABLE,Felicitar al estudiante y sugerir que conserve esa actitud positiva.
cuando llego a casa siento que todo seria mejor si no estuviera en serio necesito apoyo,RIESGO_EMOCIONAL,riesgo_autolesion,CRITICO,"Activar alerta crítica, recomendar contacto inmediato con psicología y un adulto responsable."
desde hace dias me da miedo equivocarme al exponer pero no se como explicarlo,MIEDO,expresar_miedo,ALTO,"Brindar contención, recomendar acudir a un adulto de confianza y priorizar seguridad."
la verdad me preocupa que mis compañeros se rian,MIEDO,temor_familiar,MODERADO,"Brindar contención, recomendar acudir a un adulto de confianza y priorizar seguridad."
por favor siento inseguridad en el curso puedes ayudarme,MIEDO,temor_bullying,ALTO,"Brindar contención, recomendar acudir a un adulto de confianza y priorizar seguridad."
en el colegio me fue bien en el examen me gustaria hablar con alguien,FELICIDAD,expresar_bienestar,LEVE,Felicitar al estudiante y sugerir que conserve esa actitud positiva.
desde hace dias siento que no puedo controlar mi preocupacion sin decirle a nadie que puedo hacer,ANSIEDAD,buscar_calma,LEVE,"Sugerir respiración lenta, ordenar prioridades y solicitar apoyo si la ansiedad aumenta."
en las mañanas estoy contento porque mejore mis notas y no se que hacer,FELICIDAD,motivacion_positiva,ESTABLE,Felicitar al estudiante y sugerir que conserve esa actitud positiva.
a veces siento que nada me sale bien,DESMOTIVACION,bajo_rendimiento,MODERADO,Registrar seguimiento si la desmotivación persiste y afecta asistencia o rendimiento.
en la tarde quiero desaparecer y quiero mejorar,RIESGO_EMOCIONAL,crisis_emocional,CRITICO,Priorizar seguridad del estudiante y derivar de forma urgente al área de psicología.
necesito decir que tengo pensamientos muy oscuros sin decirle a nadie,RIESGO_EMOCIONAL,crisis_emocional,CRITICO,Priorizar seguridad del estudiante y derivar de forma urgente al área de psicología.
me preocupa no entregar todo,ESTRES,cansancio_escolar,ALTO,Sugerir una planificación diaria y comunicar la sobrecarga a un docente o tutor.
en las mañanas estoy enojado con mis compañeros en serio necesito apoyo,ENOJO,conflicto_docente,MODERADO,Sugerir identificar el motivo del conflicto y pedir mediación si es necesario.
hoy me da igual sacar malas notas porque me afecta bastante,DESMOTIVACION,buscar_motivacion,ALTO,Recomendar establecer una rutina breve de estudio y conversar con un tutor.
ultimamente no quiero hacer mis tareas,DESMOTIVACION,bajo_rendimiento,MODERADO,Registrar seguimiento si la desmotivación persiste y afecta asistencia o rendimiento.
cuando llego a casa tengo rabia por lo que paso en clase,ENOJO,conflicto_companeros,ALTO,"Registrar seguimiento si el enojo genera peleas, amenazas o pérdida de control."
en las mañanas me siento triste,TRISTEZA,expresar_tristeza,MODERADO,Registrar seguimiento y sugerir orientación psicológica si la tristeza afecta sus actividades.
necesito decir que quiero lastimarme y no quiero sentirme asi,RIESGO_EMOCIONAL,desesperanza_grave,CRITICO,Priorizar seguridad del estudiante y derivar de forma urgente al área de psicología.
cuando estoy en clases me siento saturado con el colegio necesito orientacion,ESTRES,cansancio_escolar,MODERADO,"Recomendar organizar actividades, priorizar tareas y tomar pausas breves."
a veces hola,NEUTRAL,duda_academica,ESTABLE,Responder con orientación general y continuar la conversación.
cuando llego a casa me siento en peligro conmigo mismo puedes ayudarme,RIESGO_EMOCIONAL,crisis_emocional,CRITICO,Priorizar seguridad del estudiante y derivar de forma urgente al área de psicología.
esta semana me da miedo equivocarme al exponer,MIEDO,expresar_miedo,MODERADO,Sugerir comunicar la situación al área correspondiente si hay amenaza o intimidación.
desde hace dias quiero desaparecer necesito orientacion,RIESGO_EMOCIONAL,riesgo_autolesion,CRITICO,Priorizar seguridad del estudiante y derivar de forma urgente al área de psicología.
en la tarde me siento apagado desde hace dias y me cuesta concentrarme,TRISTEZA,problema_personal,ALTO,"Responder con empatía, validar la emoción y sugerir hablar con el área de psicología si continúa."
en la tarde siento que voy a perder el control sin decirle a nadie y no se que hacer,ENOJO,conflicto_companeros,MODERADO,Sugerir identificar el motivo del conflicto y pedir mediación si es necesario.
desde ayer no puedo dormir por pensar en el examen con mis compañeros,ANSIEDAD,miedo_examen,LEVE,Validar la preocupación y recomendar dividir tareas en pasos pequeños.
a veces tengo rabia por lo que paso en clase,ENOJO,frustracion,MODERADO,"Validar el enojo, recomendar calmarse antes de responder y buscar diálogo respetuoso."
estoy enojado con mis compañeros durante clases me preocupa mucho,ENOJO,frustracion,LEVE,Sugerir identificar el motivo del conflicto y pedir mediación si es necesario.
no quiero hacer mis tareas,DESMOTIVACION,falta_interes,MODERADO,Registrar seguimiento si la desmotivación persiste y afecta asistencia o rendimiento.
cuando llego a casa no soporto que me traten mal,ENOJO,frustracion,MODERADO,Sugerir identificar el motivo del conflicto y pedir mediación si es necesario.
en la tarde gracias por la ayuda,NEUTRAL,despedida,ESTABLE,"Mantener una respuesta clara, amable y de acompañamiento."
hoy me angustia no terminar mis trabajos,ANSIEDAD,miedo_examen,ALTO,Validar la preocupación y recomendar dividir tareas en pasos pequeños.
la verdad estoy enojado con mis compañeros y quiero mejorar,ENOJO,conflicto_docente,LEVE,"Validar el enojo, recomendar calmarse antes de responder y buscar diálogo respetuoso."
por favor no se como organizar mis tareas y quiero estar mejor,ESTRES,cansancio_escolar,MODERADO,"Registrar seguimiento si el estrés se mantiene o afecta sueño, ánimo o concentración."
necesito decir que me asusta que me molesten otra vez cada dia mas y me cuesta concentrarme,MIEDO,temor_familiar,MODERADO,Sugerir comunicar la situación al área correspondiente si hay amenaza o intimidación.
en el colegio me siento tranquilo y animado pero no se como explicarlo,FELICIDAD,motivacion_positiva,ESTABLE,Responder con reconocimiento emocional y continuar acompañando.
a veces me siento agotado por las clases un poco,ESTRES,cansancio_escolar,MODERADO,Sugerir una planificación diaria y comunicar la sobrecarga a un docente o tutor.
desde ayer quiero mejorar pero no tengo fuerzas me gustaria hablar con alguien,DESMOTIVACION,bajo_rendimiento,LEVE,"Motivar con metas pequeñas, reconocer avances y sugerir apoyo académico."
desde hace dias me da miedo equivocarme al exponer me preocupa mucho,MIEDO,temor_familiar,ALTO,"Registrar alerta si el miedo se relaciona con acoso, violencia o riesgo de seguridad."
cuando estoy en clases quiero mejorar pero no tengo fuerzas bastante pero no se como explicarlo,DESMOTIVACION,buscar_motivacion,MODERADO,"Motivar con metas pequeñas, reconocer avances y sugerir apoyo académico."
me siento saturado con el colegio,ESTRES,expresar_estres,MODERADO,Sugerir una planificación diaria y comunicar la sobrecarga a un docente o tutor.
a veces ya no puedo concentrarme por el estres que puedo hacer,ESTRES,expresar_estres,MODERADO,Sugerir una planificación diaria y comunicar la sobrecarga a un docente o tutor.
a veces siento que no sirvo para las materias y quiero estar mejor,DESMOTIVACION,bajo_rendimiento,LEVE,Recomendar establecer una rutina breve de estudio y conversar con un tutor.
desde ayer me siento motivado para estudiar necesito orientacion,FELICIDAD,expresar_bienestar,LEVE,Felicitar al estudiante y sugerir que conserve esa actitud positiva.
desde hace dias me siento apagado desde hace dias y quiero mejorar,TRISTEZA,problema_personal,ALTO,"Responder con empatía, validar la emoción y sugerir hablar con el área de psicología si continúa."
en la tarde me cuesta respirar cuando pienso en mis tareas y quiero estar mejor,ANSIEDAD,buscar_calma,MODERADO,Registrar alerta si la ansiedad es frecuente o interfiere con el rendimiento escolar.
en el colegio me molesta que se burlen de mi me preocupa mucho,ENOJO,conflicto_companeros,LEVE,"Validar el enojo, recomendar calmarse antes de responder y buscar diálogo respetuoso."
por favor siento mucha pena por lo que paso que puedo hacer,TRISTEZA,problema_personal,ALTO,Brindar contención emocional y recomendar apoyo de un adulto de confianza.
cuando estoy en clases estoy contento porque mejore mis notas mucho,FELICIDAD,agradecimiento,ESTABLE,Felicitar al estudiante y sugerir que conserve esa actitud positiva.
esta semana quiero mejorar pero no tengo fuerzas,DESMOTIVACION,falta_interes,MODERADO,Recomendar establecer una rutina breve de estudio y conversar con un tutor.
desde ayer estoy llorando y no se que hacer y quiero estar mejor,TRISTEZA,expresar_tristeza,MODERADO,Brindar contención emocional y recomendar apoyo de un adulto de confianza.
desde ayer me siento desanimado con mis clases,DESMOTIVACION,buscar_motivacion,LEVE,Recomendar establecer una rutina breve de estudio y conversar con un tutor.
desde hace dias me alegra haber hablado con mi profesor que puedo hacer,FELICIDAD,compartir_logro,ESTABLE,Responder con reconocimiento emocional y continuar acompañando.
desde hace dias me da igual sacar malas notas y no se que hacer,DESMOTIVACION,expresar_desmotivacion,ALTO,"Motivar con metas pequeñas, reconocer avances y sugerir apoyo académico."
cuando llego a casa me angustia no terminar mis trabajos con mi familia que puedo hacer,ANSIEDAD,miedo_examen,LEVE,Validar la preocupación y recomendar dividir tareas en pasos pequeños.
desde hace dias cada vez me cuesta mas levantarme para ir al colegio me preocupa mucho,DESMOTIVACION,expresar_desmotivacion,MODERADO,Recomendar establecer una rutina breve de estudio y conversar con un tutor.
a veces perdi las ganas de esforzarme antes de dormir necesito orientacion,DESMOTIVACION,expresar_desmotivacion,MODERADO,Registrar seguimiento si la desmotivación persiste y afecta asistencia o rendimiento.
hoy me siento tranquilo y animado cada dia mas y quiero estar mejor,FELICIDAD,motivacion_positiva,LEVE,Reforzar positivamente el logro y motivar a mantener hábitos saludables.
cuando estoy en clases perdi las ganas de esforzarme demasiado,DESMOTIVACION,bajo_rendimiento,LEVE,Registrar seguimiento si la desmotivación persiste y afecta asistencia o rendimiento.
en el colegio me siento tranquilo y animado puedes ayudarme,FELICIDAD,motivacion_positiva,ESTABLE,Felicitar al estudiante y sugerir que conserve esa actitud positiva.
en la tarde siento miedo cuando camino solo antes de dormir,MIEDO,buscar_seguridad,LEVE,"Registrar alerta si el miedo se relaciona con acoso, violencia o riesgo de seguridad."
hoy tengo rabia por lo que paso en clase,ENOJO,conflicto_docente,LEVE,"Registrar seguimiento si el enojo genera peleas, amenazas o pérdida de control."
necesito decir que hoy me siento muy feliz y quiero estar mejor,FELICIDAD,motivacion_positiva,ESTABLE,Felicitar al estudiante y sugerir que conserve esa actitud positiva.
en el colegio me siento amenazado por un compañero,MIEDO,temor_bullying,LEVE,Sugerir comunicar la situación al área correspondiente si hay amenaza o intimidación.
cuando llego a casa estoy estresado por tantas tareas pero no se como explicarlo,ESTRES,cansancio_escolar,MODERADO,Sugerir una planificación diaria y comunicar la sobrecarga a un docente o tutor.
hoy siento que no vale la pena vivir y quiero mejorar,RIESGO_EMOCIONAL,riesgo_autolesion,CRITICO,"Activar alerta crítica, recomendar contacto inmediato con psicología y un adulto responsable."
necesito decir que estoy feliz porque mis amigos me apoyaron por eso busco ayuda,FELICIDAD,compartir_logro,ESTABLE,Responder con reconocimiento emocional y continuar acompañando.
en las mañanas me siento amenazado por un compañero bastante,MIEDO,temor_bullying,LEVE,Sugerir comunicar la situación al área correspondiente si hay amenaza o intimidación.
hoy estoy feliz porque mis amigos me apoyaron que puedo hacer,FELICIDAD,expresar_bienestar,ESTABLE,Reforzar positivamente el logro y motivar a mantener hábitos saludables.
en el colegio me angustia no terminar mis trabajos y me cuesta concentrarme,ANSIEDAD,preocupacion_academica,ALTO,"Sugerir respiración lenta, ordenar prioridades y solicitar apoyo si la ansiedad aumenta."
esta semana logre entregar mi tarea a tiempo puedes ayudarme,FELICIDAD,compartir_logro,ESTABLE,Responder con reconocimiento emocional y continuar acompañando.
cuando llego a casa donde puedo ver mi horario demasiado y quiero mejorar,NEUTRAL,saludo,ESTABLE,"Mantener una respuesta clara, amable y de acompañamiento."
cuando estoy en clases quiero gritar porque no me escuchan me gustaria hablar con alguien,ENOJO,frustracion,LEVE,"Registrar seguimiento si el enojo genera peleas, amenazas o pérdida de control."
la verdad siento inseguridad en el curso que puedo hacer,MIEDO,temor_bullying,MODERADO,Sugerir comunicar la situación al área correspondiente si hay amenaza o intimidación.
ultimamente he pensado en hacerme daño y me cuesta concentrarme,RIESGO_EMOCIONAL,riesgo_autolesion,ALTO,Priorizar seguridad del estudiante y derivar de forma urgente al área de psicología.
hoy siento mucha frustracion en serio necesito apoyo,ENOJO,conflicto_companeros,LEVE,Sugerir identificar el motivo del conflicto y pedir mediación si es necesario.
en el colegio tengo muchas obligaciones y estoy cansado necesito orientacion,ESTRES,cansancio_escolar,ALTO,Sugerir una planificación diaria y comunicar la sobrecarga a un docente o tutor.
a veces me da igual sacar malas notas me gustaria hablar con alguien,DESMOTIVACION,expresar_desmotivacion,LEVE,"Motivar con metas pequeñas, reconocer avances y sugerir apoyo académico."
